INFO [71] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14713.75
INFO [72] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24695.00
INFO [73] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9289.38
INFO [74] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5967.50
INFO [75] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11218.75
INFO [76] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14395.62
INFO [77] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=6331.88
INFO [78] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11527.50
INFO [79] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11035.00
INFO [80] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22097.50
INFO [80] mean_scaled_reward=11.851900 arm_usage={'coverage_first': 58, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 428} hist(last≤200)=[39, 42, 38, 42, 8, 5, 17, 9]
INFO [81] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22530.00
INFO [82] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7054.38
INFO [83] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14625.00
INFO [84] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=6082.50
INFO [85] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14325.00
INFO [86] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24822.50
INFO [87] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14532.50
INFO [88] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9444.38
INFO [89] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=12088.75
INFO [90] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22095.00
INFO [91] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=12232.50
INFO [92] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9356.25
INFO [93] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7229.38
INFO [94] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=9036.25
INFO [95] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11125.00
INFO [96] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24931.25
INFO [97] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11017.50
INFO [98] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9496.25
INFO [99] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=12374.38
INFO [100] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7013.75
INFO [100] mean_scaled_reward=12.103902 arm_usage={'coverage_first': 67, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 551} hist(last≤200)=[41, 46, 52, 28, 3, 4, 15, 11]
INFO [101] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5625.62
INFO [102] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=8888.75
INFO [103] n120w8 | 0.22s | weeks=8 | mean_unscaled_traj=24827.50
INFO [104] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=8875.00
INFO [105] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=12013.75
INFO [106] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11866.25
INFO [107] n120w8 | 0.22s | weeks=8 | mean_unscaled_traj=25121.88
INFO [108] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=7223.12
INFO [109] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=9430.00
INFO [110] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=7918.75
INFO [111] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=6082.50
INFO [112] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24691.88
INFO [113] n050w4 | 0.03s | weeks=4 | mean_unscaled_traj=9002.50
INFO [114] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=10787.50
INFO [115] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6755.00
INFO [116] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9509.38
INFO [117] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9193.12
INFO [118] n120w4 | 0.08s | weeks=4 | mean_unscaled_traj=22805.00
INFO [119] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11979.38
INFO [120] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5893.75
INFO [120] mean_scaled_reward=12.191788 arm_usage={'coverage_first': 73, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 665} hist(last≤200)=[32, 54, 62, 16, 2, 6, 11, 17]
INFO [121] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=7577.50
INFO [122] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6922.50
INFO [123] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11580.00
INFO [124] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11868.75
INFO [125] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=23632.50
INFO [126] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14621.88
INFO [127] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11235.00
INFO [128] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=21226.25
INFO [129] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14901.88
INFO [130] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7223.75
INFO [131] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11753.75
INFO [132] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5893.75
INFO [133] n040w8 | 0.08s | weeks=8 | mean_unscaled_traj=7182.50
INFO [134] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6652.50
INFO [135] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24600.00
INFO [136] n120w8 | 0.22s | weeks=8 | mean_unscaled_traj=24565.62
INFO [137] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=6056.25
INFO [138] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6726.25
INFO [139] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7051.25
INFO [140] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=10630.00
INFO [140] mean_scaled_reward=12.238814 arm_usage={'coverage_first': 81, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 777} hist(last≤200)=[36, 58, 43, 27, 3, 4, 13, 16]
INFO [141] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=20956.25
INFO [142] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6923.75
INFO [143] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14070.62
INFO [144] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11433.75
INFO [145] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=11859.38
INFO [146] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7612.50
INFO [147] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5775.62
INFO [148] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14502.50
INFO [149] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=6950.00
INFO [150] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=21742.50
INFO [151] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9324.38
INFO [152] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14821.25
INFO [153] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11252.50
INFO [154] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5861.25
INFO [155] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=22968.75
INFO [156] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=7957.50
INFO [157] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11225.00
INFO [158] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5864.38
INFO [159] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14475.00
INFO [160] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9202.50
