[exp11] 6 bundled instances

[exp11] n005w4 H0 W[1, 2, 3, 3]
  start=greedy bandit=uniform rounds=0 P0=4990 -> 4990 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4990 -> 4880 (Δ=+110)
  start=greedy bandit=uniform rounds=100 P0=4990 -> 4630 (Δ=+360)
  start=greedy bandit=uniform rounds=250 P0=4990 -> 4120 (Δ=+870)
  start=greedy bandit=uniform rounds=500 P0=4990 -> 4220 (Δ=+770)
  start=greedy bandit=uniform rounds=1000 P0=4990 -> 4000 (Δ=+990)
  start=mid bandit=linucb rounds=0 P0=4355 -> 4355 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4355 -> 4355 (Δ=+0)
  start=mid bandit=linucb rounds=100 P0=4355 -> 4295 (Δ=+60)
  start=mid bandit=linucb rounds=250 P0=4355 -> 4160 (Δ=+195)
  start=mid bandit=linucb rounds=500 P0=4355 -> 4150 (Δ=+205)
  start=mid bandit=linucb rounds=1000 P0=4355 -> 4030 (Δ=+325)
  start=mid bandit=uniform rounds=0 P0=4355 -> 4355 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4355 -> 4490 (Δ=-135)
  start=mid bandit=uniform rounds=100 P0=4355 -> 3925 (Δ=+430)
  start=mid bandit=uniform rounds=250 P0=4355 -> 3885 (Δ=+470)
  start=mid bandit=uniform rounds=500 P0=4355 -> 3695 (Δ=+660)
  start=mid bandit=uniform rounds=1000 P0=4355 -> 4035 (Δ=+320)
  start=bandp bandit=linucb rounds=0 P0=1695 -> 1695 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1695 -> 1950 (Δ=-255)
  start=bandp bandit=linucb rounds=100 P0=1695 -> 1950 (Δ=-255)
  start=bandp bandit=linucb rounds=250 P0=1695 -> 2355 (Δ=-660)
  start=bandp bandit=linucb rounds=500 P0=1695 -> 2215 (Δ=-520)
  start=bandp bandit=linucb rounds=1000 P0=1695 -> 2395 (Δ=-700)
  start=bandp bandit=uniform rounds=0 P0=1695 -> 1695 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=1695 -> 3250 (Δ=-1555)
  start=bandp bandit=uniform rounds=100 P0=1695 -> 3785 (Δ=-2090)
  start=bandp bandit=uniform rounds=250 P0=1695 -> 3375 (Δ=-1680)
  start=bandp bandit=uniform rounds=500 P0=1695 -> 3535 (Δ=-1840)
  start=bandp bandit=uniform rounds=1000 P0=1695 -> 3440 (Δ=-1745)

[exp11] n005w4 H1 W[5, 3, 1, 0]
  start=greedy bandit=linucb rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=4775 -> 4320 (Δ=+455)
  start=greedy bandit=linucb rounds=100 P0=4775 -> 4065 (Δ=+710)
  start=greedy bandit=linucb rounds=250 P0=4775 -> 4290 (Δ=+485)
  start=greedy bandit=linucb rounds=500 P0=4775 -> 4045 (Δ=+730)
  start=greedy bandit=linucb rounds=1000 P0=4775 -> 3920 (Δ=+855)
  start=greedy bandit=uniform rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4775 -> 5355 (Δ=-580)
  start=greedy bandit=uniform rounds=100 P0=4775 -> 5145 (Δ=-370)
  start=greedy bandit=uniform rounds=250 P0=4775 -> 4030 (Δ=+745)
  start=greedy bandit=uniform rounds=500 P0=4775 -> 3885 (Δ=+890)
  start=greedy bandit=uniform rounds=1000 P0=4775 -> 3660 (Δ=+1115)
  start=mid bandit=linucb rounds=0 P0=4230 -> 4230 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4230 -> 4000 (Δ=+230)
